timestamp,wind_speed_100m,wind_direction_100m,wind_speed_10m,shortwave_radiation,direct_radiation,cloud_cover,temperature_2m
2023-01-01 00:00:00,8.1,243,3.1,0.0,0.0,100,10.1
2023-01-01 01:00:00,8.8,234,3.45,0.0,0.0,100,10.9
2023-01-01 02:00:00,10.32,225,4.88,0.0,0.0,99,12.9
2023-01-01 03:00:00,10.04,225,4.67,0.0,0.0,96,12.8
2023-01-01 04:00:00,10.26,228,4.75,0.0,0.0,99,12.9
2023-01-01 05:00:00,8.78,228,3.3,0.0,0.0,100,12.2
2023-01-01 06:00:00,6.13,246,3.6,0.0,0.0,100,8.8
2023-01-01 07:00:00,5.63,276,3.2,0.0,0.0,97,8.1
2023-01-01 08:00:00,4.4,271,3.16,0.0,0.0,92,8.2
2023-01-01 09:00:00,8.1,294,3.58,1.0,0.0,98,9.3
2023-01-01 10:00:00,8.61,273,4.23,47.0,17.0,82,10.1
2023-01-01 11:00:00,7.11,267,3.77,144.0,93.0,82,11.1
2023-01-01 12:00:00,5.32,265,2.14,210.0,145.0,92,12.1
2023-01-01 13:00:00,4.42,265,1.68,248.0,189.0,0,13.8
2023-01-01 14:00:00,3.22,263,1.36,240.0,188.0,97,14.7
2023-01-01 15:00:00,4.8,268,1.71,184.0,133.0,96,14.9
2023-01-01 16:00:00,6.61,273,2.63,100.0,63.0,90,13.5
2023-01-01 17:00:00,6.93,275,2.7,17.0,7.0,88,11.2
2023-01-01 18:00:00,7.03,275,2.92,0.0,0.0,96,10.0
2023-01-01 19:00:00,6.3,250,2.44,0.0,0.0,90,8.6
2023-01-01 20:00:00,5.32,254,2.88,0.0,0.0,80,6.4
2023-01-01 21:00:00,5.32,275,2.72,0.0,0.0,99,5.8
2023-01-01 22:00:00,5.6,272,2.25,0.0,0.0,95,6.2
2023-01-01 23:00:00,5.21,267,2.1,0.0,0.0,96,5.8
2023-01-02 00:00:00,5.41,274,2.26,0.0,0.0,95,5.2
2023-01-02 01:00:00,5.0,268,2.01,0.0,0.0,100,4.8
2023-01-02 02:00:00,4.32,257,2.22,0.0,0.0,94,4.2
2023-01-02 03:00:00,3.72,246,1.89,0.0,0.0,94,4.1
2023-01-02 04:00:00,3.31,241,2.86,0.0,0.0,98,3.2
2023-01-02 05:00:00,2.78,232,2.44,0.0,0.0,89,3.8
2023-01-02 06:00:00,2.78,210,2.71,0.0,0.0,91,3.2
2023-01-02 07:00:00,2.56,211,2.0,0.0,0.0,83,6.1
2023-01-02 08:00:00,2.2,210,1.22,0.0,0.0,87,6.2
2023-01-02 09:00:00,2.77,206,1.75,2.0,0.0,96,6.3
2023-01-02 10:00:00,2.8,215,1.56,57.0,28.0,100,7.2
2023-01-02 11:00:00,1.75,211,0.14,144.0,91.0,100,8.8
2023-01-02 12:00:00,1.88,245,0.58,188.0,92.0,92,10.1
2023-01-02 13:00:00,1.99,288,1.25,235.0,151.0,62,11.1
2023-01-02 14:00:00,1.46,254,0.72,241.0,184.0,3,12.6
2023-01-02 15:00:00,2.67,283,1.36,189.0,140.0,0,12.1
2023-01-02 16:00:00,2.62,263,2.06,103.0,69.0,0,9.5
2023-01-02 17:00:00,4.64,263,2.11,18.0,9.0,52,7.4
2023-01-02 18:00:00,6.48,261,2.68,0.0,0.0,69,7.2
2023-01-02 19:00:00,7.47,254,3.35,0.0,0.0,93,7.6
2023-01-02 20:00:00,7.21,251,3.22,0.0,0.0,92,7.0
2023-01-02 21:00:00,7.38,261,3.2,0.0,0.0,92,6.2
2023-01-02 22:00:00,7.82,266,3.57,0.0,0.0,76,5.9
2023-01-02 23:00:00,8.6,271,4.02,0.0,0.0,52,5.7
2023-01-03 00:00:00,10.0,272,5.01,0.0,0.0,76,5.8
2023-01-03 01:00:00,10.42,267,5.41,0.0,0.0,98,6.2
2023-01-03 02:00:00,10.03,261,5.26,0.0,0.0,99,6.9
2023-01-03 03:00:00,9.65,264,5.04,0.0,0.0,100,6.9
2023-01-03 04:00:00,8.57,263,4.16,0.0,0.0,100,6.6
2023-01-03 05:00:00,7.14,264,2.96,0.0,0.0,100,5.9
2023-01-03 06:00:00,7.92,274,3.6,0.0,0.0,100,6.0
2023-01-03 07:00:00,8.78,262,4.85,0.0,0.0,100,6.9
2023-01-03 08:00:00,8.95,264,4.98,0.0,0.0,100,6.9
2023-01-03 09:00:00,8.76,263,4.98,1.0,0.0,95,7.1
2023-01-03 10:00:00,7.82,266,4.55,46.0,12.0,100,7.1
2023-01-03 11:00:00,7.33,275,5.0,127.0,54.0,100,8.2
2023-01-03 12:00:00,6.41,274,4.6,181.0,76.0,94,8.8
2023-01-03 13:00:00,7.43,281,5.38,215.0,137.0,71,9.4
2023-01-03 14:00:00,7.15,288,5.12,204.0,116.0,39,9.9
2023-01-03 15:00:00,6.26,287,4.12,177.0,107.0,100,9.4
2023-01-03 16:00:00,6.02,281,3.31,85.0,21.0,99,8.2
2023-01-03 17:00:00,6.51,281,3.0,16.0,3.0,100,6.3
2023-01-03 18:00:00,6.68,287,3.01,0.0,0.0,100,5.7
2023-01-03 19:00:00,5.35,287,2.2,0.0,0.0,100,5.2
2023-01-03 20:00:00,5.02,275,2.38,0.0,0.0,100,4.2
2023-01-03 21:00:00,5.02,265,2.46,0.0,0.0,85,4.2
2023-01-03 22:00:00,5.01,267,2.31,0.0,0.0,6,3.2
