timestamp,wind_speed_100m,wind_direction_100m,wind_speed_10m,shortwave_radiation,direct_radiation,cloud_cover,temperature_2m
2025-01-01 00:00:00,7.9,217,3.7,0.0,0.0,100,1.1
2025-01-01 01:00:00,8.2,212,4.1,0.0,0.0,99,1.1
2025-01-01 02:00:00,10.1,231,5.2,0.0,0.0,52,1.6
2025-01-01 03:00:00,9.8,237,5.1,0.0,0.0,95,2.4
2025-01-01 04:00:00,8.7,228,4.4,0.0,0.0,96,2.0
2025-01-01 05:00:00,8.8,229,4.6,0.0,0.0,86,1.7
2025-01-01 06:00:00,9.1,232,4.7,0.0,0.0,98,1.5
2025-01-01 07:00:00,10.2,238,5.5,0.0,0.0,100,1.7
2025-01-01 08:00:00,10.4,241,5.9,0.0,0.0,100,1.9
2025-01-01 09:00:00,10.5,232,6.1,0.0,0.0,100,1.9
2025-01-01 10:00:00,10.5,227,6.1,21.0,0.0,100,2.2
2025-01-01 11:00:00,11.4,229,6.7,39.0,0.0,100,3.0
2025-01-01 12:00:00,11.5,233,6.8,40.0,0.0,100,3.8
2025-01-01 13:00:00,11.6,233,6.9,52.0,0.0,100,4.2
2025-01-01 14:00:00,10.9,233,6.4,92.0,3.0,100,4.7
2025-01-01 15:00:00,10.4,234,6.1,76.0,4.0,100,5.1
2025-01-01 16:00:00,10.9,228,6.4,40.0,0.0,100,4.6
2025-01-01 17:00:00,12.0,227,7.1,6.0,0.0,100,4.3
2025-01-01 18:00:00,11.0,229,6.4,0.0,0.0,100,4.1
2025-01-01 19:00:00,11.5,224,6.7,0.0,0.0,100,3.8
2025-01-01 20:00:00,11.9,224,6.7,0.0,0.0,100,3.8
2025-01-01 21:00:00,13.0,227,7.4,0.0,0.0,100,4.3
2025-01-01 22:00:00,13.4,225,7.8,0.0,0.0,99,4.3
2025-01-01 23:00:00,13.6,223,7.9,0.0,0.0,100,4.7
2025-01-02 00:00:00,12.8,227,7.4,0.0,0.0,100,5.0
2025-01-02 01:00:00,12.9,226,7.5,0.0,0.0,100,5.0
2025-01-02 02:00:00,14.1,231,8.3,0.0,0.0,100,5.3
2025-01-02 03:00:00,12.9,231,7.6,0.0,0.0,100,5.5
2025-01-02 04:00:00,12.3,231,7.1,0.0,0.0,100,5.5
2025-01-02 05:00:00,12.4,230,7.3,0.0,0.0,100,5.7
2025-01-02 06:00:00,12.2,228,7.2,0.0,0.0,100,5.7
2025-01-02 07:00:00,12.1,230,7.1,0.0,0.0,100,5.1
2025-01-02 08:00:00,8.5,224,4.5,0.0,0.0,100,5.6
2025-01-02 09:00:00,11.0,227,6.4,0.0,0.0,100,5.9
2025-01-02 10:00:00,10.9,225,6.5,5.0,0.0,100,5.5
2025-01-02 11:00:00,9.3,233,5.2,9.0,0.0,100,5.8
2025-01-02 12:00:00,10.9,239,6.4,7.0,0.0,100,6.0
2025-01-02 13:00:00,11.5,248,6.6,13.0,0.0,100,6.1
2025-01-02 14:00:00,13.7,262,8.2,12.0,0.0,100,6.3
2025-01-02 15:00:00,12.9,266,7.8,37.0,0.0,100,6.1
2025-01-02 16:00:00,10.7,276,6.5,36.0,0.0,100,5.0
2025-01-02 17:00:00,12.0,273,7.3,3.0,0.0,100,3.9
2025-01-02 18:00:00,9.8,278,5.9,0.0,0.0,100,3.5
2025-01-02 19:00:00,9.4,280,5.6,0.0,0.0,91,2.7
2025-01-02 20:00:00,9.3,270,5.3,0.0,0.0,6,2.0
2025-01-02 21:00:00,7.1,259,3.8,0.0,0.0,0,1.1
2025-01-02 22:00:00,6.6,268,3.3,0.0,0.0,0,0.5
2025-01-02 23:00:00,7.5,272,4.1,0.0,0.0,0,0.4
2025-01-03 00:00:00,7.1,268,3.8,0.0,0.0,1,0.2
2025-01-03 01:00:00,6.8,262,3.5,0.0,0.0,0,-0.2
2025-01-03 02:00:00,7.2,267,3.7,0.0,0.0,0,-0.3
2025-01-03 03:00:00,7.1,261,3.6,0.0,0.0,0,-0.5
2025-01-03 04:00:00,7.0,251,3.4,0.0,0.0,2,-0.5
2025-01-03 05:00:00,7.2,263,4.1,0.0,0.0,100,-0.4
2025-01-03 06:00:00,8.2,255,4.7,0.0,0.0,100,0.2
2025-01-03 07:00:00,8.9,260,5.2,0.0,0.0,99,0.7
2025-01-03 08:00:00,8.1,267,4.8,0.0,0.0,100,0.7
2025-01-03 09:00:00,7.5,262,4.1,1.0,0.0,5,0.5
2025-01-03 10:00:00,7.2,261,4.0,27.0,1.0,100,0.9
2025-01-03 11:00:00,8.4,258,4.9,33.0,0.0,100,1.3
2025-01-03 12:00:00,8.3,258,5.0,75.0,0.0,100,1.6
2025-01-03 13:00:00,7.3,244,4.4,119.0,0.0,100,1.6
2025-01-03 14:00:00,8.2,249,4.9,149.0,0.0,100,1.9
